Date : 2024-09-30 23:01:22
Directory : c:\Users\rfrjo\pothole-detection-website
Total : 394 files,  -834 codes, -2254 comments, -689 blanks, all -3777 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\052f6dea2efbf9c3.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\05715a168cba21da.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\09f2854a07611b91.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\0f59587d0a6f5dd0.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\13a2a815337e1d1b.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\16a32586d354b631.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1aeb1389161142ce.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1b6b2212351d04eb.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1bf57e9ca108224a.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1d34ad3f0c956b35.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1d5788842318190b.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1f834d24ad74b4f6.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\241e6549ff2bdfb9.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2437995ad6de6d44.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2447dcefc4d408c0.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\261582b8a4c03c81.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2af20e4231425d85.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2bfff34f33985a5c.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2df75f17c78eeaf1.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\336c5b89b535e2de.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\395562a4717d2f7f.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\397c95cc2c4599a8.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3af8302a34ff3f9b.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3d3bada15a49a51a.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\47396008231a81e3.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4be6c3196b0e7880.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4cc9dfe53752ec11.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4e4c07c1c572ae5f.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\4e7177463858ed6a.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5333f146b1fce614.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\599be672b367805b.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5cf37d63cfe8d600.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\611d7ddaf6eaaea5.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\64ce06dd8784dad5.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\69c39a029157b06c.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6b3302e462d47832.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\6e17eea08daa4461.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\704ada73f32ffcfe.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\72e8be227edd0633.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\74bf66b145b7f31a.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\7553387ad1cc69a3.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\813daabf623bf7ff.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\82bcae466be0d753.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\8ce78540ee6b936c.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\8d1022a00db06c96.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\90600ccfb467a9cb.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\91a2463bc649eb31.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\92d17d5f338d6d65.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\93cccf4e68c8f5fa.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\94327a28070e9b59.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\949edd130e0d8b15.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\96ee604f28de5976.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\998bbd00e52b9ad6.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9a3cb0f6c67b7b74.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9a469bb35965f49b.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9b177a6343dedfa5.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9b7dfac18cc1ecab.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9be2dd9b393341d3.webpack.hot-update.json             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\a88718d08d250638.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\acceac5bfdb54fd8.webpack.hot-update.json             | JSON           |         -1 |          0 |          0 |         -1 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.09f2854a07611b91.hot-update.js    | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.1f834d24ad74b4f6.hot-update.js    | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.949edd130e0d8b15.hot-update.js    | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.a88718d08d250638.hot-update.js    | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.b4935ee67ccb232c.hot-update.js    | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.d3f9d5d6accb4bbb.hot-update.js    | JavaScript     |        -41 |        -32 |        -25 |        -98 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.d4cfa901868645e2.hot-update.js    | JavaScript     |        -11 |        -14 |         -7 |        -32 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.09f2854a07611b91.hot-update.js   | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.1f834d24ad74b4f6.hot-update.js   | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.949edd130e0d8b15.hot-update.js   | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.a88718d08d250638.hot-update.js   | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.b4935ee67ccb232c.hot-update.js   | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.09f2854a07611b91.hot-update.js         | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.1f834d24ad74b4f6.hot-update.js         | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.949edd130e0d8b15.hot-update.js         | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.a88718d08d250638.hot-update.js         | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.b4935ee67ccb232c.hot-update.js         | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.d4cfa901868645e2.hot-update.js         | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.00c0b6e31034d73a.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.03f416adaa618df1.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.052f6dea2efbf9c3.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.05715a168cba21da.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.09f2854a07611b91.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.0f59587d0a6f5dd0.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.13a2a815337e1d1b.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.16a32586d354b631.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.1b6b2212351d04eb.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.1bf57e9ca108224a.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.1d5788842318190b.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.1f834d24ad74b4f6.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.241e6549ff2bdfb9.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.2437995ad6de6d44.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.2447dcefc4d408c0.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.261582b8a4c03c81.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.2af20e4231425d85.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.2bfff34f33985a5c.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.2df75f17c78eeaf1.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.336c5b89b535e2de.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.395562a4717d2f7f.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.397c95cc2c4599a8.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.3af8302a34ff3f9b.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.3d3bada15a49a51a.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.47396008231a81e3.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.4be6c3196b0e7880.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.4e4c07c1c572ae5f.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.4e7177463858ed6a.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.5333f146b1fce614.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
