"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "TypeScript JSX", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\exif-js.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\firebase.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 23, 16, 65
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\follow-redirects.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\framer-motion.js", "JavaScript", 0, 0, 0, 962, 0, 0, 0, 0, 0, 725, 718, 2405
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\get-nonce.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\goober.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\has-flag.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\idb.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\lodash.camelcase.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\long.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\lucide-react.js", "JavaScript", 0, 0, 0, 134, 0, 0, 0, 0, 0, 104, 97, 335
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\mime-db.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\mime-types.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\ms.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\next.js", "JavaScript", 0, 0, 0, 1096, 0, 0, 0, 0, 0, 674, 661, 2431
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\protobufjs.js", "JavaScript", 0, 0, 0, 162, 0, 0, 0, 0, 0, 125, 118, 405
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\proxy-from-env.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-hot-toast.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-remove-scroll-bar.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-remove-scroll.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 29, 22, 85
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-style-singleton.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\supports-color.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\tailwind-merge.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\tslib.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\undici.js", "JavaScript", 0, 0, 0, 476, 0, 0, 0, 0, 0, 293, 286, 1055
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\use-callback-ref.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 17, 10, 45
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\use-sidecar.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\webpack-runtime.js", "JavaScript", 0, 0, 0, 181, 0, 0, 0, 0, 0, 39, 0, 220
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app-pages-internals.js", "JavaScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 41, 34, 138
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\dashboard\page.js", "JavaScript", 0, 0, 0, 696, 0, 0, 0, 0, 0, 422, 415, 1533
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\detections\page.js", "JavaScript", 0, 0, 0, 411, 0, 0, 0, 0, 0, 251, 244, 906
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\layout.js", "JavaScript", 0, 0, 0, 156, 0, 0, 0, 0, 0, 98, 91, 345
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\model\page.js", "JavaScript", 0, 0, 0, 2216, 0, 0, 0, 0, 0, 1334, 1327, 4877
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\spreadsheets\page.js", "JavaScript", 0, 0, 0, 701, 0, 0, 0, 0, 0, 425, 418, 1544
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\upload\page.js", "JavaScript", 0, 0, 0, 490, 0, 0, 0, 0, 0, 299, 292, 1081
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\main-app.js", "JavaScript", 0, 0, 0, 1070, 0, 0, 0, 0, 0, 650, 643, 2363
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\polyfills.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\webpack.js", "JavaScript", 0, 0, 0, 1292, 0, 0, 0, 0, 0, 123, 0, 1415
"c:\Users\rfrjo\pothole-detection-website\.next\static\css\app\layout.css", "CSS", 0, 0, 0, 0, 1904, 0, 0, 0, 0, 123, 30, 2057
"c:\Users\rfrjo\pothole-detection-website\.next\static\development\_buildManifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\development\_ssgManifest.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\00c0b6e31034d73a.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\13a2a815337e1d1b.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1aeb1389161142ce.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\397c95cc2c4599a8.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\5333f146b1fce614.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\633457081244afec._.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\69c39a029157b06c.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\91a2463bc649eb31.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9be2dd9b393341d3.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.00c0b6e31034d73a.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.13a2a815337e1d1b.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.397c95cc2c4599a8.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.5333f146b1fce614.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.69c39a029157b06c.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.91a2463bc649eb31.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.00c0b6e31034d73a.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.13a2a815337e1d1b.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.397c95cc2c4599a8.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\model\page.91a2463bc649eb31.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\cd89bd9a5ffff254.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\e47c7a8ed9f2da79.webpack.hot-update.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.00c0b6e31034d73a.hot-update.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.13a2a815337e1d1b.hot-update.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.1aeb1389161142ce.hot-update.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.397c95cc2c4599a8.hot-update.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.5333f146b1fce614.hot-update.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.69c39a029157b06c.hot-update.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.91a2463bc649eb31.hot-update.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.9be2dd9b393341d3.hot-update.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.cd89bd9a5ffff254.hot-update.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\webpack.e47c7a8ed9f2da79.hot-update.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18
"c:\Users\rfrjo\pothole-detection-website\.next\types\app\dashboard\page.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\rfrjo\pothole-detection-website\.next\types\app\detections\page.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\rfrjo\pothole-detection-website\.next\types\app\layout.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\rfrjo\pothole-detection-website\.next\types\app\model\page.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\rfrjo\pothole-detection-website\.next\types\app\spreadsheets\page.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\rfrjo\pothole-detection-website\.next\types\app\upload\page.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 10, 18, 80
"c:\Users\rfrjo\pothole-detection-website\.next\types\package.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.prettierrc", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\rfrjo\pothole-detection-website\README.md", "Markdown", 0, 0, 1383, 0, 0, 0, 0, 0, 0, 0, 35, 1418
"c:\Users\rfrjo\pothole-detection-website\app\api\auth\[auth0]\route.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 2, 23
"c:\Users\rfrjo\pothole-detection-website\app\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 2, 17
"c:\Users\rfrjo\pothole-detection-website\app\dashboard-layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"c:\Users\rfrjo\pothole-detection-website\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 206, 0, 6, 17, 229
"c:\Users\rfrjo\pothole-detection-website\app\detections\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 134, 0, 2, 11, 147
"c:\Users\rfrjo\pothole-detection-website\app\help\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 7, 109
"c:\Users\rfrjo\pothole-detection-website\app\index.css", "CSS", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 3, 69
"c:\Users\rfrjo\pothole-detection-website\app\layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\rfrjo\pothole-detection-website\app\maps\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 268, 0, 0, 19, 287
"c:\Users\rfrjo\pothole-detection-website\app\model\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 586, 0, 10, 45, 641
"c:\Users\rfrjo\pothole-detection-website\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"c:\Users\rfrjo\pothole-detection-website\app\signin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 1, 6, 112
"c:\Users\rfrjo\pothole-detection-website\app\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 122, 0, 1, 8, 131
"c:\Users\rfrjo\pothole-detection-website\app\spreadsheets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 177, 0, 1, 14, 192
"c:\Users\rfrjo\pothole-detection-website\app\upload\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 597, 0, 11, 53, 661
"c:\Users\rfrjo\pothole-detection-website\auth_config.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
