"filename", "language", "JavaScript", "TypeScript JSX", "JSON", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1019e17dc34f90f7.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\10d06a07761b1004.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\10f36f7c29af944b.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\11f5b055fd4bd836.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\139d8656c3bb11a5.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\14f23adcc8b61558.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\15118643dcb53d1a.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\15533c9ad4427e70.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\16a32586d354b631.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1b6b2212351d04eb.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1bf57e9ca108224a.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1c27704668b698fe.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1c32acae818838c2.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1d34ad3f0c956b35.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1d5788842318190b.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1e178d13d373339b.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1e3b0b7a7dabaae1.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
