"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON with Comments", "JSON", "HTML", "CSS", "TypeScript JSX", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\bufferutil.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\class-variance-authority.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\clsx.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\cookie.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\debug.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 20, 13, 54
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\firebase.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\get-nonce.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\goober.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\has-flag.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\idb.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\joi.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 0, 0, 104, 97, 335
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\jose.js", "JavaScript", 0, 342, 0, 0, 0, 0, 0, 0, 0, 260, 253, 855
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\lodash.camelcase.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\long.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\lru-cache.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\lucide-react.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 0, 0, 107, 100, 345
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\ms.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\next.js", "JavaScript", 0, 1345, 0, 0, 0, 0, 0, 0, 0, 824, 811, 2980
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\node-gyp-build.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\oidc-token-hash.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\openid-client.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 0, 0, 98, 91, 317
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\protobufjs.js", "JavaScript", 0, 162, 0, 0, 0, 0, 0, 0, 0, 125, 118, 405
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-hot-toast.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-remove-scroll-bar.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-remove-scroll.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 29, 22, 85
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-style-singleton.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\supports-color.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\tailwind-merge.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\tslib.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\undici.js", "JavaScript", 0, 476, 0, 0, 0, 0, 0, 0, 0, 293, 286, 1055
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\url-join.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\use-callback-ref.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 17, 10, 45
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\use-sidecar.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\ws.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 50, 43, 155
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\yallist.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\webpack-runtime.js", "JavaScript", 0, 181, 0, 0, 0, 0, 0, 0, 0, 39, 0, 220
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\_error.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 11, 4, 28
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app-pages-internals.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 41, 34, 138
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\_not-found\page.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 14, 7, 39
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\dashboard\page.js", "JavaScript", 0, 662, 0, 0, 0, 0, 0, 0, 0, 401, 394, 1457
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\detections\page.js", "JavaScript", 0, 263, 0, 0, 0, 0, 0, 0, 0, 161, 154, 578
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\help\page.js", "JavaScript", 0, 278, 0, 0, 0, 0, 0, 0, 0, 170, 163, 611
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\layout.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 77, 70, 269
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\maps\page.js", "JavaScript", 0, 538, 0, 0, 0, 0, 0, 0, 0, 326, 319, 1183
