"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@grpc.js", "JavaScript", 246, 0, 0, 0, 0, 0, 0, 0, 0, 188, 181, 615
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@protobufjs.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 38, 31, 115
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\@radix-ui.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 0, 0, 98, 91, 315
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\aria-hidden.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\asynckit.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 38, 31, 114
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\axios.js", "JavaScript", 283, 0, 0, 0, 0, 0, 0, 0, 0, 176, 169, 628
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\class-variance-authority.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\clsx.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\combined-stream.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\debug.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 54
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\delayed-stream.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\exif-js.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\firebase.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 23, 16, 65
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\follow-redirects.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 34
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\framer-motion.js", "JavaScript", 962, 0, 0, 0, 0, 0, 0, 0, 0, 725, 718, 2405
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\get-nonce.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\goober.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\has-flag.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\idb.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\lodash.camelcase.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\long.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\lucide-react.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 0, 0, 110, 103, 355
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\mime-db.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\mime-types.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\ms.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 24
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\next.js", "JavaScript", 1116, 0, 0, 0, 0, 0, 0, 0, 0, 686, 673, 2475
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\protobufjs.js", "JavaScript", 162, 0, 0, 0, 0, 0, 0, 0, 0, 125, 118, 405
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\proxy-from-env.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-hot-toast.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-remove-scroll-bar.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-remove-scroll.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 85
